labels,url
9502|ChubuElectric,https://www.chuden.co.jp/
9503|KansaiElectric,https://www.kepco.co.jp/
9501|TEPCO,https://www.tepco.co.jp/
1332|Nissui,https://www.nissui.co.jp/
2802|Ajinomoto,https://www.ajinomoto.com/
2502|AsahiGroup,https://www.asahigroup-holdings.com/
2914|JT,https://www.jt.com/
2801|Kikkoman,https://www.kikkoman.com/
2503|Kirin,https://www.kirinholdings.com/
2269|Meiji,https://www.meiji.com/
2282|NHFoods,https://www.nipponham.co.jp/
2871|Nichirei,https://www.nichirei.co.jp/
2002|NisshinSeifun,https://www.nisshin.com/
2501|Sapporo,https://www.sapporoholdings.jp/
9532|OsakaGas,https://www.osakagas.co.jp/
9531|TokyoGas,https://www.tokyo-gas.co.jp/
5201|AGC,https://www.agc.com/
5333|NGKInsulators,https://www.ngk-insulators.com/
5214|NipponElectricGlass,https://www.neg.co.jp/
5233|TaiheiyoCement,https://www.taiheiyo-cement.co.jp/
5301|TokaiCarbon,https://www.tokaicarbon.co.jp/
5332|Toto,https://jp.toto.com/
8750|DaiichiLife,https://www.dai-ichi-life-hd.com/
8725|MSAD,https://www.ms-ad-hd.com/
8630|Sompo,https://www.sompo-hd.com/
8795|TDHoldings,https://www.td-holdings.co.jp/
8766|TokioMarine,https://www.tokiomarinehd.com/
9147|NipponExpress,https://www.nipponexpress-holdings.com/
9064|Yamato,https://www.yamato-hd.co.jp/
6113|Amada,https://www.amada.co.jp/
6367|Daikin,https://www.daikin.com/
6361|Ebara,https://www.ebara.com/
6305|HitachiCM,https://www.hitachicm.com/
7004|Kanadevia,https://www.kanadevia.com/
7013|IHI,https://www.ihi.co.jp/
5631|JapanSteelWorks,https://www.jsw.co.jp/
6473|JTEKT,https://www.jtekt.co.jp/
6301|Komatsu,https://www.komatsu.jp/
6326|Kubota,https://www.kubota.com/
7011|MHI,https://www.mhi.com/
6471|NSK,https://www.nsk.com/
6472|NTN,https://www.ntnglobal.com/
6103|Okuma,https://www.okuma.co.jp/
6302|SumitomoHeavy,https://www.shi.co.jp/
6273|SMC,https://www.smcworld.com/
9107|KLine,https://www.kline.co.jp/
9104|MOL,https://www.mol.co.jp/
9101|NYK,https://www.nyk.com/
1605|Inpex,https://www.inpex.co.jp/
5714|Dowa,https://www.dowa.co.jp/
5803|Fujikura,https://www.fujikura.com/
5801|FurukawaElectric,https://www.furukawa.co.jp/
5711|MitsubishiMaterials,https://www.mmc.co.jp/
5706|MitsuiKinzoku,https://www.mitsui-kinzoku.com/
3436|SUMCO,https://www.sumcosi.com/
5802|SumitomoElectric,https://sumitomoelectric.com/
5713|SumitomoMetalMining,https://www.smm.co.jp/
8253|CreditSaison,https://corporate.saisoncard.co.jp/
8697|JPX,https://www.jpx.co.jp/
8591|Orix,https://www.orix.co.jp/
7832|BandaiNamco,https://www.bandainamcoholdings.com/
7912|DNP,https://www.dnp.co.jp/
7911|Toppan,https://www.toppan.com/
7951|Yamaha,https://www.yamaha.com/
5020|Eneos,https://www.eneos.co.jp/
5019|Idemitsu,https://www.idemitsu.com/
4503|Astellas,https://www.astellas.com/
4519|Chugai,https://www.chugai-pharm.co.jp/
4568|DaiichiSankyo,https://www.daiichisankyo.com/
4523|Eisai,https://www.eisai.com/
4151|KyowaKirin,https://www.kyowakirin.com/
4578|Otsuka,https://www.otsuka.com/
4506|SumitomoPharma,https://www.sumitomo-pharma.com/
4507|Shionogi,https://www.shionogi.com/
4502|Takeda,https://www.takeda.com/
6146|Disco,https://www.disco.co.jp/
7741|Hoya,https://www.hoya.com/
4902|KonicaMinolta,https://www.konicaminolta.com/
7731|Nikon,https://www.nikon.com/
7733|Olympus,https://www.olympus-global.com/
4543|Terumo,https://www.terumo.com/
3861|OjiHoldings,https://www.ojiholdings.co.jp/
9022|JRCentral,https://global.jr-central.co.jp/
9020|JREast,https://www.jreast.co.jp/
9008|Keio,https://www.keio.co.jp/
9009|Keisei,https://www.keisei.co.jp/
9007|Odakyu,https://www.odakyu.jp/
9001|Tobu,https://www.tobu.co.jp/
9005|Tokyu,https://www.tokyu.co.jp/
9021|JRWest,https://www.westjr.co.jp/
8802|MitsubishiEstate,https://www.mec.co.jp/
8801|MitsuiFudosan,https://www.mitsuifudosan.co.jp/
8830|SumitomoRealty,https://www.sumitomo-rd.co.jp/
8804|TokyoTatemono,https://www.tatemono.com/
3289|TokyuLand,https://www.tokyu-land.co.jp/
8267|Aeon,https://www.aeon.info/
9983|FastRetailing,https://www.fastretailing.com/
3099|IsetanMitsukoshi,https://www.imhds.co.jp/
3086|JFront,https://www.j-front-retailing.com/
8252|Marui,https://www.0101maruigroup.co.jp/
7453|RyohinKeikaku,https://ryohin-keikaku.jp/
9843|Nitori,https://www.nitorihd.co.jp/
7532|PPIH,https://www.ppih.co.jp/
3382|SevenAndI,https://www.7andi.com/
8233|Takashimaya,https://www.takashimaya.co.jp/
3092|Zozo,https://corp.zozo.com/
5108|Bridgestone,https://www.bridgestone.com/
5101|YokohamaRubber,https://www.y-yokohama.com/
8601|DaiwaSecurities,https://www.daiwa-grp.jp/
8604|Nomura,https://www.nomuraholdings.com/
6532|Baycurrent,https://www.baycurrent.co.jp/
4751|CyberAgent,https://www.cyberagent.co.jp/
2432|DeNA,https://dena.com/
4324|Dentsu,https://www.dentsu.com/
6178|JapanPost,https://www.japanpost.jp/
9766|Konami,https://www.konami.com/
4689|LYCorp,https://www.lycorp.co.jp/
4385|Mercari,https://about.mercari.com/
2413|M3,https://corporate.m3.com/
3659|Nexon,https://www.nexon.co.jp/
7974|Nintendo,https://www.nintendo.co.jp/
4307|NRI,https://www.nri.com/
4661|OrientalLand,https://www.olc.co.jp/
4755|Rakuten,https://corp.rakuten.co.jp/
6098|Recruit,https://recruit-holdings.com/
9735|Secom,https://www.secom.co.jp/
3697|SHIFT,https://www.shiftinc.jp/
9602|Toho,https://www.toho.co.jp/
4704|TrendMicro,https://www.trendmicro.com/
7012|KawasakiHeavy,https://global.kawasaki.com/
5411|JFE,https://www.jfe-holdings.co.jp/
5406|KobeSteel,https://www.kobelco.co.jp/
5401|NipponSteel,https://www.nipponsteel.com/
3401|Teijin,https://www.teijin.com/
3402|Toray,https://www.toray.com/
8001|Itochu,https://www.itochu.co.jp/
8002|Marubeni,https://www.marubeni.com/
8058|MitsubishiCorp,https://www.mitsubishicorp.com/
8031|Mitsui,https://www.mitsui.com/
2768|Sojitz,https://www.sojitz.com/
8053|SumitomoCorp,https://www.sumitomocorp.com/
8015|ToyotaTsusho,https://www.toyota-tsusho.com/
